State Name,State Abbreviation,State FIPS,County Name,FIPS,Part D Prescribers 2013,Opioid Claims 2013,Overall Claims 2013,Opioid Prescribing Rate 2013,Part D Prescribers 2014,Opioid Claims 2014,Overall Claims 2014,Opioid Prescribing Rate 2014,Percentage Point Difference in Opioid Prescribing Rate
Alaska,AK,02,Aleutians East,02013,2,42,690,6.09,2,83,"1,543",5.38,-0.71
Alaska,AK,02,Aleutians West,02016,13,141,"2,574",5.48,12,167,"2,942",5.68,0.20
Alaska,AK,02,Anchorage,02020,"1,202","38,888","678,171",5.73,"1,224","45,610","755,269",6.04,0.30
Alaska,AK,02,Bethel,02050,48,"1,329","25,906",5.13,51,"1,559","25,410",6.14,1.01
Alaska,AK,02,Bristol Bay,02060,1,0,26,0.00,1,0,27,0.00,
Alaska,AK,02,Denali,02068,1,19,208,9.13,1,0,213,0.00,
Alaska,AK,02,Dillingham,02070,18,544,"10,903",4.99,18,542,"8,483",6.39,1.40
Alaska,AK,02,Fairbanks North Star,02090,269,"8,911","117,915",7.56,264,"8,104","109,535",7.40,-0.16
Alaska,AK,02,Haines,02100,5,254,"3,599",7.06,5,154,"2,548",6.04,-1.01
Alaska,AK,02,Hoonah-Angoon,02105,3,0,214,0.00,2,18,138,13.04,
Alaska,AK,02,Juneau,02110,106,"3,450","41,632",8.29,107,"3,050","38,933",7.83,-0.45
Alaska,AK,02,Kenai Peninsula,02122,161,"11,962","115,920",10.32,159,"12,315","128,431",9.59,-0.73
Alaska,AK,02,Ketchikan Gateway,02130,44,"2,472","30,367",8.14,42,"2,358","29,146",8.09,-0.05
Alaska,AK,02,Kodiak Island,02150,34,612,"13,719",4.46,35,636,"14,388",4.42,-0.04
Alaska,AK,02,Lake and Peninsula,02164,3,0,100,0.00,3,0,109,0.00,
Alaska,AK,02,Matanuska-Susitna,02170,198,"11,059","164,298",6.73,202,"12,346","192,373",6.42,-0.31
Alaska,AK,02,Nome,02180,21,332,"4,328",7.67,23,349,"4,715",7.40,-0.27
Alaska,AK,02,North Slope,02185,4,23,723,3.18,6,31,386,8.03,4.85
Alaska,AK,02,Northwest Arctic,02188,26,"1,295","14,896",8.69,26,"1,221","13,623",8.96,0.27
Alaska,AK,02,Petersburg,02195,3,149,"1,784",8.35,2,142,"2,135",6.65,-1.70
Alaska,AK,02,Prince of Wales-Hyder,02198,15,928,"8,585",10.81,14,974,"9,313",10.46,-0.35
Alaska,AK,02,Sitka,02220,36,"1,241","14,702",8.44,36,"1,086","14,113",7.70,-0.75
Alaska,AK,02,Skagway,02230,3,15,323,4.64,4,29,514,5.64,1.00
Alaska,AK,02,Southeast Fairbanks,02240,4,746,"5,437",13.72,7,"1,281","10,154",12.62,-1.11
Alaska,AK,02,Valdez-Cordova,02261,16,777,"6,912",11.24,13,731,"6,839",10.69,-0.55
Alaska,AK,02,Wade Hampton,02270,4,298,"3,531",8.44,2,20,862,2.32,-6.12
Alaska,AK,02,Wrangell,02275,7,436,"5,824",7.49,8,427,"5,532",7.72,0.23
Alaska,AK,02,Yakutat,02282,1,0,27,0.00,,,,,
Alaska,AK,02,Yukon-Koyukuk,02290,12,73,"2,731",2.67,13,62,"1,505",4.12,1.45
Alabama,AL,01,Autauga,01001,67,"20,482","208,936",9.80,67,"20,355","209,310",9.72,-0.08
Alabama,AL,01,Baldwin,01003,407,"82,517","901,704",9.15,425,"81,866","904,305",9.05,-0.10
Alabama,AL,01,Barbour,01005,33,"8,935","142,307",6.28,34,"7,710","134,404",5.74,-0.54
